log,cutoff,combo,exp,ate,home_miss,drift_rate,yaw_rmse,vert_rmse,cross_track,success
A,60.0,C5,exp2,14.758457888968058,1.4479598619995966,0.4461016067699218,0.23354067743588586,7.825179613860226,1.2187930750959708,True
A,10.0,C6,exp1,3.895744186458573,11.573287222442055,0.43548700279371316,0.21417069042457518,3.939701775974324,0.0,False
A,10.0,C6,exp2,3.895744186458573,1.4441333386468067,0.43548700279371316,0.21417069042457518,3.939701775974324,1.0622380077360007,True
A,30.0,C6,exp1,4.934183002422308,51.95102364920867,0.24014744236246566,0.2237413269408129,4.992057767954485,0.0,False
A,30.0,C6,exp2,4.934183002422308,0.17000485730336629,0.24014744236246566,0.2237413269408129,4.992057767954485,1.1742638685441906,True
A,60.0,C6,exp1,7.346913007828016,127.08593027767617,0.20088012674653144,0.23354067743588586,7.658932906140364,0.0,False
A,60.0,C6,exp2,7.346913007828016,1.4479598619995966,0.20088012674653144,0.23354067743588586,7.658932906140364,1.2187930750959708,True
B,10.0,C1,exp1,2.4328088070550105,7.256953057599559,0.720068672657251,0.0018632834158373674,0.13554722651500217,0.0,False
B,10.0,C1,exp2,2.4328088070550105,0.03543951111364499,0.720068672657251,0.0018632834158373674,0.13554722651500217,0.0,True
B,30.0,C1,exp1,30.348845538453347,92.49031978187634,3.054089712839256,0.005731427042637973,1.7331423690739007,0.0,False
B,30.0,C1,exp2,30.348845538453347,0.1202856039935744,3.054089712839256,0.005731427042637973,1.7331423690739007,0.0,True
B,60.0,C1,exp1,223.23206795288934,737.4323363512576,12.199846177425888,0.05273699112667438,15.582325536910842,0.0,False
B,60.0,C1,exp2,223.23206795288934,1.5439135827955521,12.199846177425888,0.05273699112667438,15.582325536910842,0.7377229885478118,True
B,10.0,C2,exp1,2.4326336039771532,7.225280398242211,0.7187199834671345,0.29696737462329537,0.13554722651501228,0.0,False
B,10.0,C2,exp2,2.4326336039771532,0.03543951111364499,0.7187199834671345,0.29696737462329537,0.13554722651501228,0.0,True
B,30.0,C2,exp1,30.32975316854924,92.43739395182548,3.0540058912770114,0.2951189760737813,1.7331423690740544,0.0,False
B,30.0,C2,exp2,30.32975316854924,0.1202856039935744,3.0540058912770114,0.2951189760737813,1.7331423690740544,0.0,True
B,60.0,C2,exp1,224.24906225894114,742.416886214632,12.304268879854783,0.2930563648756169,15.582325536912721,0.0,False
B,60.0,C2,exp2,224.24906225894114,1.5439135827955521,12.304268879854783,0.2930563648756169,15.582325536912721,0.7377229885478118,True
B,10.0,C3,exp1,2.44737851965287,7.216974451779889,0.718076219732322,0.29696737462329537,0.17501345481909394,0.0,False
B,10.0,C3,exp2,2.44737851965287,0.03543951111364499,0.718076219732322,0.29696737462329537,0.17501345481909394,0.0,True
B,30.0,C3,exp1,30.30790261119987,92.34711381009916,3.051163359892801,0.2951189760737813,0.1679885954863239,0.0,False
